"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CABIN1",426.339193421275,-0.467654579562409,0.193419712796578,-2.41782273792459,0.0156136809357254,0.142509236494579
"SRRM2",14251.7812803734,-0.158003536445802,0.1831725536353,-0.862593949311808,0.388360758279153,0.767524541884637
"ARHGAP45",1123.13561078339,-0.647587228028182,0.225287869053664,-2.87448778644147,0.00404683421597585,0.0589985830434374
"ACAP2",1596.26434613583,-0.0887410927486151,0.201054990408754,-0.441377220073972,0.658939930940782,0.907045485338284
"ZNF281",1368.26857275476,0.143828436052356,0.164933537321708,0.872038752020546,0.383187237219715,0.764674206294019
"CLCF1",597.444385030049,1.91378248271811,0.299809845210656,6.38332100593101,1.73288120512723e-10,4.91436857958819e-08
"FOS",46.2931118779023,0.913409203538763,0.51896425896799,1.76006186891399,0.0783973171032661,0.36595998271652
"NNT",1081.2344042864,0.0555328331370589,0.141223672722702,0.393226093518329,0.694152498985233,0.921744750882175
"MMD",969.817341185325,0.585169423607327,0.292481048749605,2.00070885313426,0.0454237748034421,0.2685074847066
"PIK3R5",14615.3650269535,1.03777856206771,0.233319116947579,4.44789340729793,8.67165405606447e-06,0.000501398405154291
"TNPO3",2191.61672664763,-0.0504405986681836,0.11928288797626,-0.422865337383701,0.672393513994628,0.912900848648127
"ADAT1",493.101881267678,-0.0352129714827125,0.269392296800904,-0.130712614654816,0.896002652916731,0.976243108603871
"RBFOX2",646.602397751723,0.0614423110660308,0.202318116103308,0.303691593463914,0.761362863153655,0.943858561929973
"SEZ6L",9.97657527690665,0.368160514766125,0.744636162437451,0.494416647132754,0.621011959608666,NA
"ATP6V0A2",683.539806213267,-0.399583438738482,0.171655040596347,-2.32782816834442,0.019921229707893,0.164436429002573
"LILRA4",59.5505983053024,-0.733164893749837,0.785187519412279,-0.933744966168869,0.350435463904543,0.737037741970898
"TTC33",958.421046395713,0.122433693256409,0.198836898771974,0.615749360468629,0.538059954007616,0.858839607706849
"DNPEP",1307.0065996113,0.119375872014955,0.140815698841064,0.847745478646469,0.396579732689109,0.771794233379533
"FOSL2",14191.956139476,-0.320157170197857,0.159587867478669,-2.00614981111049,0.0448402667560043,0.266380258020333
"PSD4",570.094994563191,0.0270476102273589,0.212839881236798,0.127079615296659,0.898877385280025,0.977408119049697
"CDK20",6.13705338264701,-0.907405317615625,1.03894680331178,-0.873389585225301,0.382450765756307,NA
"TSPAN15",185.903217655333,0.0311205762514941,0.303895437905125,0.102405539438239,0.918434786954267,0.983942862692236
"PIGN",880.436078570707,0.00141190449939654,0.179956401398195,0.00784581425515601,0.993740010163108,0.997927820944925
"SNAPIN",843.749011905882,0.247227190214912,0.150201282673868,1.64597256304206,0.0997694079334929,0.413034218155668
"WBP2",3732.71528065073,0.0477326678130525,0.202072611629357,0.236215424882043,0.813265510833885,0.960204689076249
"WBP1",91.4765417578608,0.036033533536692,0.291847040771615,0.123467188296386,0.901737155403668,0.978264588256045
"FPGS",2296.64156514549,-1.04941909658585,0.192152021745915,-5.46140023430776,4.72393693993936e-08,5.86112634287684e-06
"GTPBP4",3212.51746766589,-0.468177628671127,0.230506868869709,-2.03107886097641,0.0422469954577104,0.256344351959648
"DDAH2",317.497202529326,0.477527840123154,0.198515352609271,2.40549576567536,0.0161505391210079,0.145574204724627
"ZNF346",161.112448728251,-0.455488317728655,0.296977919537431,-1.53374472566216,0.125092465981714,0.463301107682898
"ARL2BP",1184.88662084223,-0.0729472015380913,0.15211833998554,-0.479542450601456,0.631552776139869,0.895127144307448
"FPR1",1398.25159392464,-0.519764614667524,0.208084590157811,-2.49785250447107,0.0124948169392568,0.123862355663608
"DDAH1",39.4939031740823,-0.518007747685477,0.642695730388211,-0.805992203141885,0.42024734476979,0.788650720584996
"FPR2",589.455490362556,-1.0325580282875,0.592507583344661,-1.74269166726743,0.0813874879762188,0.371704896198137
"CDC42EP4",1366.64537208984,0.597734127811293,0.299673705123529,1.99461653655899,0.0460847186140817,0.270401518922329
"CCNDBP1",1015.65082212514,0.158668101051996,0.218096686528614,0.727512662285122,0.466911961370627,0.819417765122371
"SMUG1",75.8822227585779,0.157245957186071,0.283376049438581,0.554902072696698,0.578961644105593,0.873510585352476
"TMEM50A",6157.90001696762,0.238041987817538,0.200541356511643,1.18699699632139,0.235228805295159,0.626828993824081
"RIGI",68874.0816220919,0.578882401933087,0.277384500756179,2.08693131863891,0.0368943433839699,0.236951714922613
"ELP5",158.820366325354,-0.404899232219425,0.262830496854782,-1.5405336787958,0.123430319957719,0.46151825417861
"KLHDC2",433.253206748835,-0.219436317942264,0.228502230687717,-0.960324620384809,0.336891862625377,0.726139907026571
"CARHSP1",74.9823162066824,-0.0617051151386186,0.371255851689799,-0.166206444579293,0.867994487949272,0.972501713892771
"FPR3",6290.55469777491,0.662525021987438,0.278767677194082,2.37662066368684,0.0174720458126468,0.152684913921083
"PDSS1",3347.61858702668,-0.0690193785482989,0.271902336185851,-0.253838858159434,0.799620051920285,0.954887586999251
"LEMD3",1997.701466872,0.39245995748288,0.206152287493925,1.90373806788075,0.0569443059456191,0.306387509861102
"HEBP2",336.243372056109,0.0137390358966501,0.240136397349672,0.057213467213986,0.954375150448092,0.990021772186312
"ORC6",74.9771445056977,-0.630806992531603,0.540263349572393,-1.16759168104013,0.242971507401622,0.637213742289954
"ORC3",484.637045394778,-0.0532076081558638,0.182114795960747,-0.292165213019442,0.770160307782595,0.947214391762523
"OPN3",1372.2580269943,0.284311653157744,0.188942834548045,1.50474959178962,0.13238846793924,0.477119225907501
"ACOT9",4378.69696960934,0.275089871216584,0.14367291962547,1.91469535061788,0.0555313668731438,0.301238755468123
"PATZ1",354.118725304939,-0.125332777974432,0.183929891134026,-0.681416039566428,0.495608276579458,0.836264369221976
"AMACR",30.0597293573646,0.13919865704412,0.431217698454903,0.322803673278911,0.746843930943109,0.940141591097581
"CLEC5A",2639.30426905532,0.895121420030134,0.404850898206532,2.21099032753904,0.0270365068709679,0.197808251437407
"CORO1C",6248.63889279858,0.162551766406765,0.240139221968286,0.676906359046306,0.498465369185358,0.837870958583635
"DAPK2",25.2390193639216,1.02764925587597,0.506955841307186,2.02709816544607,0.0426523744640526,NA
"CD2AP",3677.09915844928,0.412909567189609,0.219457679545968,1.88149974083327,0.0599039704987137,0.316739620047099
"MKRN1",2294.81175662375,0.0668818679110384,0.136042380533873,0.491625239492084,0.622984297479583,0.891443679639162
"MKRN2",708.762105696317,-0.417588818955094,0.21535140610234,-1.93910421349488,0.0524886497522181,0.290842732972434
"PHLDA3",49.502787074548,0.404406185162241,0.899776337031431,0.449451901009611,0.653105698226386,0.903881319335119
"ZMYND8",198.767375431431,-0.412960038910661,0.531953768815889,-0.776308136381656,0.437567070135862,0.798059482148718
"SH3BP1",162.038006004284,0.393719846863574,0.233341181983899,1.68731401596629,0.0915429873418876,0.396353515895755
"BACE1",310.816729218326,-0.100898485902979,0.233429347575568,-0.432244218436651,0.665563924467012,0.909537850427556
"RUSC1",545.859875538122,0.476834519863647,0.205079259791816,2.32512307849999,0.0200653799328203,0.164826717503326
"FAM89B",222.525654169005,-0.403634946736755,0.297824722949341,-1.35527683108233,0.175329373861795,0.54611615378343
"KCNE5",11.1187311059274,0.0454614386226594,0.97777843939068,0.0464946216762455,0.962916020733006,NA
"CA14",400.783009528103,0.227386104870224,0.216983187591634,1.04794342545179,0.294664673239236,0.690517554334269
"KPNA6",2298.52866959795,-0.257670853273862,0.14545779278663,-1.77144756796795,0.0764863043803707,0.361806342920809
"SSBP2",439.181120751459,-0.785069710981695,0.319959488117389,-2.45365347844807,0.0141413178945424,0.133892875549995
"NUP62",7291.85180595171,0.0086936523192021,0.162839167878328,0.0533879682171916,0.957422791513539,0.990368169942092
"RABGAP1",1545.23944204652,-0.0829138247952878,0.149960696824459,-0.552903704444273,0.580329350675888,0.873640879633246
"DNAAF11",13.2890156554749,-0.155222032171641,0.856635746448846,-0.181199573815485,0.856210929110796,NA
"HSPBP1",110.186466932935,-0.170483274729894,0.296274010155003,-0.575424333172868,0.565004351278184,0.869991603329533
"SNHG1",475.689385071658,-0.834545769973681,0.396472186902881,-2.10492891441616,0.0352974963318127,0.231386064286308
"LY96",3327.73549884797,-0.0319831121905512,0.328240647063588,-0.0974380000669305,0.922378568596225,0.985331939959608
"EDC4",936.364519431189,-0.422479556966096,0.138898404849011,-3.04164441215397,0.00235289669064009,0.04102379750133
"PPP1R15A",16110.5081985489,0.730653172487314,0.332666846513209,2.19635103451255,0.0280668275185085,0.201874385611688
"PLD3",27262.1975700733,0.229678864808013,0.303317179079929,0.757223397318651,0.448916034982465,0.806978402154564
"ARFIP2",385.913172825609,-0.087520738224721,0.226126460398479,-0.387043329960113,0.698724130284972,0.923493302273546
"SSBP3",351.793452231513,-0.209056995073314,0.250120285094699,-0.835825830736449,0.403252892626872,0.776328625194548
"POLA2",605.933193726554,-0.0954400411854949,0.229103559408321,-0.416580350964326,0.676985383954201,0.914895305408409
"PLXNB2",1707.23267315406,-0.11760232644467,0.225592536778614,-0.521304153603627,0.60215490796447,0.883937282322504
"SLC7A11",10556.6735029469,0.893581883196913,0.328537379202623,2.71987889282395,0.00653058296074163,0.0825259771554908
"LSM5",374.693769275155,-0.0252090121908939,0.192716470250998,-0.130808810259243,0.895926553307523,0.976243108603871
"PLA2G15",228.360910594055,-0.215392481387782,0.247002565648238,-0.872025279666641,0.383194586691582,0.764674206294019
"ZKSCAN5",434.307226752494,0.042057028911686,0.25541799917827,0.164659613053864,0.869211907100836,0.972952074567997
"CEMIP2",13005.6865012029,-0.757864350063514,0.388665884066174,-1.94991220257058,0.051186584463104,0.287180126019798
"STX12",11298.5258482471,0.0459281201145479,0.172251651332647,0.26663384507039,0.78975109411905,0.952073115328306
"SH3BP4",112.317474883181,0.242008007893815,0.410119512518886,0.590091425807669,0.555129356885121,0.865564102155476
"SGK3",2264.22808116274,1.16470905094553,0.237497494610734,4.90408984252455,9.38615249115605e-07,7.65742892617533e-05
"RAB38",100.184464061142,0.430310794537478,0.356316603620344,1.20766416766808,0.227176466211368,0.617176171166579
"PRKD3",3127.81052982091,0.295156777045697,0.199034382090921,1.4829436700583,0.138089377536417,0.48705436062667
"CADM1",584.36780809009,0.20754087413504,0.308398594240014,0.672963100387934,0.500970766428457,0.83901332943326
"GSPT2",107.411663644318,-0.162905260873667,0.426495758608299,-0.381962206154744,0.702489398131831,0.924569195706987
"GABARAPL1",519.082445005452,0.258795906345593,0.234018429642734,1.10587831368959,0.268779192451062,0.669300496716043
"SHPK",42.473833624065,-0.175901316005218,0.53601178922602,-0.328166879051696,0.742785489042792,0.93889960800097
"TMEM245",1045.96074241819,0.200356218384387,0.260279161304315,0.769774335295838,0.441433766250167,0.801878540461451
"EID1",2510.31032193519,0.0119364451217941,0.17934105025759,0.0665572388733623,0.946934188655205,0.98868628340394
"SDF2L1",209.839226784099,0.121238560129635,0.271187145928227,0.447066027833496,0.654827386867258,0.904516874054958
"PPIL2",520.310676144652,-0.0541418484656276,0.243075572275778,-0.222736690317042,0.823740443856077,0.962902803321119
"PITPNB",8193.9349081846,0.0721593500173342,0.187295393809717,0.385270286415289,0.700037173597727,0.924046799360209
"PISD",774.233634203007,-0.2617046122268,0.159954528922767,-1.63611880194503,0.101814725875622,0.417120460943603
"OSBP2",23.1508731259108,-1.15785425954794,0.569635368157489,-2.0326235417809,0.0420905712064885,NA
"MAFF",1060.03499563359,0.881537184619242,0.293222521695766,3.00637611163403,0.0026438176179873,0.044405722229704
"IL17RA",4223.16304031155,-0.396770992956864,0.178375903938478,-2.22435308915778,0.026124697423936,0.194118072998442
"FLRT2",136.095762117257,0.262325721837212,0.631504986921328,0.41539770432548,0.677850786945003,0.915155025939638
"FKBP8",2505.43929267545,-0.00731840593738642,0.223523407458273,-0.0327411165595827,0.973881035181436,0.992631953623659
"BRD1",1830.74888880727,-0.169309939606882,0.172331559306267,-0.982466242912503,0.325870205548099,0.716926490262912
"ARHGAP8",13.6383461440361,-0.161835173325049,0.863865494308363,-0.187338392830031,0.85139532268666,NA
"APOL2",15994.4963607623,0.210573710314778,0.194610386130112,1.08202709270611,0.279240489606525,0.679757338961093
"BCL2L13",4847.88497261703,0.524711919363692,0.27958350463913,1.87676279414609,0.0605506119061089,0.319264426035265
"MTCH1",4573.62011730379,0.193669968501615,0.187240557536931,1.0343377046579,0.300978315988589,0.695436297031055
